kode,judul,tipe,posted_at,jam_posting,hashtag_set,media_id,permalink,save_rate,share_rate,comment_rate,catatan
L01,3 Kesalahan Diet yang Paling Sering Terjadi,feed_carousel,2026-09-09 19:13,07:00,C,17962143728981720,https://www.instagram.com/p/DdEPCAEm-B7/,,,,
M01,Nasi Dingin Lebih Rendah Kalori?,feed_carousel,2026-09-16 19:24,19:00,B,17968655403150101,https://www.instagram.com/p/DdWR0g3IMlu/,,,,
T01,Cara Baca Label Gizi,feed_carousel,2026-09-19 08:13,08:00,B,17921333313428899,https://www.instagram.com/p/DdczYFNjcIn/,,,,
R01,Rendang Ayam Diet — 275 kkal,feed_carousel,2026-09-21 07:22,07:00,A,18146270806559798,https://www.instagram.com/p/Ddh3LpqGLmJ/,,,,
M02,Karbo Bikin Gemuk?,feed_carousel,2026-09-23 19:21,19:00,B,18464130139137767,https://www.instagram.com/p/DdoTFwTk7is/,,,,
